Code,Name,Geographic Level,City Class,Income Classification,Urban / Rural(based on 2015 POPCEN),POPULATION(2015 POPCEN),Notes,Capital,Old Name
13311008,Bancagan,Bgy,,,R,"1,271",,,
13311009,Baraoas Norte,Bgy,,,R,"1,017",,,
13311010,Baraoas Sur,Bgy,,,R,"3,479",,,
13311011,Bariquir,Bgy,,,R,"1,986",,,
13311012,Bato,Bgy,,,R,"1,754",,,
13311013,Bimmotobot,Bgy,,,R,"1,169",,,
13311014,Cabaritan Norte,Bgy,,,R,553,,,
13311015,Cabaritan Sur,Bgy,,,R,"2,052",,,
13311016,Casilagan,Bgy,,,R,"2,210",,,
13311017,Dal-lipaoen,Bgy,,,R,"1,935",,,
13311018,Daramuangan,Bgy,,,R,"1,200",,,
13311019,Guesset,Bgy,,,R,"1,478",,,
13311020,Gusing Norte,Bgy,,,R,"1,617",,,
13311021,Gusing Sur,Bgy,,,R,"1,622",,,
13311022,Imelda,Bgy,,,R,"1,431",,,
13311023,Lioac Norte,Bgy,,,R,"1,529",,,
13311024,Lioac Sur,Bgy,,,R,"1,434",,,
13311025,Magungunay,Bgy,,,R,906,,,
13311026,Mamat-ing Norte,Bgy,,,R,"1,136",,,
13311027,Mamat-ing Sur,Bgy,,,R,"1,289",,,
13311028,Nagsidorisan,Bgy,,,R,"1,131",,,
13311029,Natividad (Pob.),Bgy,,,U,"3,201",,,
13311030,Ortiz (Pob.),Bgy,,,R,"2,968",,,
13311032,Ribsuan,Bgy,,,R,"1,151",,,
13311033,San Antonio,Bgy,,,R,915,,,
13311034,San Isidro,Bgy,,,R,933,,,
13311035,Sili,Bgy,,,R,"1,291",,,
13311037,Suguidan Norte,Bgy,,,R,893,,,
13311038,Suguidan Sur,Bgy,,,R,"1,044",,,
13311039,Tuddingan,Bgy,,,R,"1,552",,,
13312000,PUGO,Mun,,5th,,"19,690",,,
13312001,Ambalite,Bgy,,,R,"1,037",,,
13312002,Ambangonan,Bgy,,,R,"1,192",,,
13312003,Cares,Bgy,,,U,"2,671",,,
13312004,Cuenca,Bgy,,,R,"1,931",,,
13312005,Duplas,Bgy,,,R,604,,,
13312007,Maoasoas Norte,Bgy,,,R,"1,413",,,
13312008,Maoasoas Sur,Bgy,,,R,"1,005",,,
13312009,Palina,Bgy,,,R,"1,763",,,
13312010,Poblacion East,Bgy,,,R,895,,,
13312011,San Luis,Bgy,,,R,"2,452",,,
13312012,Saytan,Bgy,,,R,"1,671",,,
13312013,Tavora East,Bgy,,,R,752,,,
13312014,Tavora Proper,Bgy,,,R,"1,256",,,
13312015,Poblacion West,Bgy,,,R,"1,048",,,
13313000,ROSARIO,Mun,,1st,,"55,458",,,
